20.05.2019                                                                                     Saída dinâmica de lista                                                                                             1


		CgDF	OrgV	Dt.fatur.	EmissorOrd	TipFt	PRec	Doc.SD	CDst	SA	Ctg.doc.	Endereço	Nome emissor ordem	Cidade EO	CrtOrdenaç	Numer.	LExp	Status CRR	  Val.líq.	Moeda	Tp.	Nm.tp.DV	Dt.fatur.	TipFt	Status	Grupo

	X	L	1001	17.05.2019	119813	ZVMI	BR	80000146	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000147	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000148	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000150	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000151	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000152	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000153	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000154	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000155	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000156	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000157	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000158	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000159	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000162	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000163	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000164	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000168	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
	X	L	1001	17.05.2019	119813	ZVMI	BR	80000171	30	02	J	122193	DISPLOKI DISTRIBUICAO	BARUERI			LM61	A	11.915,80	BRL	ZVMI	Entrega MI	17.05.2019	ZVMI
